date_;val_;n_day_;time_
2017-06-16;0.943861385440985;10;47
2017-06-16;1.49119632679572;10;48
2017-06-16;0.724927408899092;10;49
2017-06-16;0.396526444086251;10;50
2017-06-16;1.05332837371193;10;51
2017-06-16;0.834394397170038;10;52
2017-06-16;0.724927408899092;10;53
2017-06-16;0.505993432357198;10;54
2017-06-16;0.287059455815304;10;55
2017-06-16;1.05332837371193;10;56
2017-06-16;0.943861385440985;10;57
2017-06-16;0.615460420628145;10;58
2017-06-16;0.396526444086251;10;59
2017-06-16;0.177592467544358;10;60
2017-06-16;-0.041341508997536;10;61
2017-06-16;0.943861385440985;10;62
2017-06-16;-0.150808497268483;10;63
2017-06-16;0.287059455815304;10;64
2017-06-16;0.177592467544358;10;65
2017-06-16;0.177592467544358;10;66
2017-06-16;0.724927408899092;10;67
2017-06-16;-0.479209462081323;10;68
2017-06-16;0.0681254792734108;10;69
2017-06-16;-0.150808497268483;10;70
2017-06-16;-0.479209462081323;10;71
2017-06-16;-0.26027548553943;10;72
2017-06-16;-0.26027548553943;10;73
2017-06-16;0.505993432357198;10;74
2017-06-16;-0.150808497268483;10;75
2017-06-16;-0.479209462081323;10;76
2017-06-16;-0.698143438623217;10;77
2017-06-16;-0.26027548553943;10;78
2017-06-16;-0.807610426894164;10;79
2017-06-16;-0.807610426894164;10;80
2017-06-16;-0.91707741516511;10;81
2017-06-16;-0.698143438623217;10;82
2017-06-16;-1.02654440343606;10;83
2017-06-16;-0.91707741516511;10;84
2017-06-16;-0.91707741516511;10;85
2017-06-16;-0.479209462081323;10;86
2017-06-16;0.177592467544358;10;87
2017-06-16;-0.698143438623217;10;88
2017-06-16;-1.136011391707;10;89
2017-06-16;-0.041341508997536;10;90
2017-06-16;-1.136011391707;10;91
2017-06-16;-1.46441235651984;10;92
2017-06-16;-0.807610426894164;10;93
2017-06-16;-0.807610426894164;10;94
2017-06-16;-1.24547837997795;10;95
2017-06-16;-1.02654440343606;10;96
2017-09-14;-1.90228030960363;100;1
2017-09-14;-1.3549453682489;100;2
2017-09-14;-1.24547837997795;100;3
2017-09-14;-1.68334633306174;100;4
2017-09-14;-1.02654440343606;100;5
2017-09-14;-0.58867645035227;100;6
2017-09-14;-1.57387934479079;100;7
2017-09-14;-1.24547837997795;100;8
2017-09-14;-0.807610426894164;100;9
2017-09-14;-1.3549453682489;100;10
2017-09-14;-1.02654440343606;100;11
2017-09-14;-0.807610426894164;100;12
2017-09-14;-1.24547837997795;100;13
2017-09-14;-1.02654440343606;100;14
2017-09-14;-0.807610426894164;100;15
2017-09-14;-0.698143438623217;100;16
2017-09-14;-0.041341508997536;100;17
2017-09-14;0.505993432357198;100;18
2017-09-14;-0.041341508997536;100;19
2017-09-14;-0.807610426894164;100;20
2017-09-14;-0.479209462081323;100;21
2017-09-14;-0.26027548553943;100;22
2017-09-14;-0.150808497268483;100;23
2017-09-14;0.177592467544358;100;24
2017-09-14;-0.150808497268483;100;25
2017-09-14;0.287059455815304;100;26
2017-09-14;0.396526444086251;100;27
2017-09-14;0.505993432357198;100;28
2017-09-14;-0.26027548553943;100;29
2017-09-14;0.287059455815304;100;30
2017-09-14;0.396526444086251;100;31
2017-09-14;0.0681254792734108;100;32
2017-09-14;0.396526444086251;100;33
2017-09-14;0.396526444086251;100;34
2017-09-14;0.177592467544358;100;35
2017-09-14;0.177592467544358;100;36
2017-09-14;-0.150808497268483;100;37
2017-09-14;0.0681254792734108;100;38
2017-09-14;1.71013030333761;100;39
2017-09-14;1.27226235025383;100;40
2017-09-14;0.287059455815304;100;41
2017-09-14;-0.26027548553943;100;42
2017-09-14;0.287059455815304;100;43
2017-09-14;0.615460420628145;100;44
2017-09-14;0.0681254792734108;100;45
2017-09-14;0.615460420628145;100;46
2017-09-14;1.27226235025383;100;47
2017-09-14;-0.041341508997536;100;48
2017-09-14;0.287059455815304;100;49
2017-09-14;-0.150808497268483;100;50
2017-09-14;-0.041341508997536;100;51
2017-09-14;0.177592467544358;100;52
2017-09-14;-0.150808497268483;100;53
2017-09-14;-0.479209462081323;100;54
2017-09-14;-0.26027548553943;100;55
2017-09-14;-0.26027548553943;100;56
2017-09-14;-0.369742473810376;100;57
2017-09-14;-0.150808497268483;100;58
2017-09-14;-0.26027548553943;100;59
2017-09-14;0.0681254792734108;100;60
2017-09-14;-0.150808497268483;100;61
2017-09-14;0.287059455815304;100;62
2017-09-14;-0.698143438623217;100;63
2017-09-14;-0.369742473810376;100;64
2017-09-14;0.287059455815304;100;65
2017-09-14;-0.698143438623217;100;66
2017-09-14;-0.58867645035227;100;67
2017-09-14;0.177592467544358;100;68
2017-09-14;-0.26027548553943;100;69
2017-09-14;-0.479209462081323;100;70
2017-09-14;-0.58867645035227;100;71
2017-09-14;-0.479209462081323;100;72
2017-09-14;-0.150808497268483;100;73
2017-09-14;-0.26027548553943;100;74
2017-09-14;-0.58867645035227;100;75
2017-09-14;-0.91707741516511;100;76
2017-09-14;-0.58867645035227;100;77
2017-09-14;-0.58867645035227;100;78
2017-09-14;-0.807610426894164;100;79
2017-09-14;-0.91707741516511;100;80
2017-09-14;-1.24547837997795;100;81
2017-09-14;0.177592467544358;100;82
2017-09-14;-1.24547837997795;100;83
2017-09-14;-1.136011391707;100;84
2017-09-14;-0.479209462081323;100;85
2017-09-14;0.177592467544358;100;86
2017-09-14;-1.24547837997795;100;87
2017-09-14;-1.46441235651984;100;88
2017-09-14;-0.91707741516511;100;89
2017-09-14;-0.698143438623217;100;90
2017-09-14;-0.91707741516511;100;91
2017-09-14;-1.90228030960363;100;92
2017-09-14;-1.02654440343606;100;93
2017-09-14;-0.807610426894164;100;94
2017-09-14;-1.46441235651984;100;95
2017-09-14;-1.68334633306174;100;96
2017-09-15;-1.3549453682489;101;1
2017-09-15;-1.79281332133268;101;2
2017-09-15;-0.369742473810376;101;3
2017-09-15;-1.136011391707;101;4
2017-09-15;-0.58867645035227;101;5
2017-09-15;-0.58867645035227;101;6
2017-09-15;-1.02654440343606;101;7
2017-09-15;-1.57387934479079;101;8
2017-09-15;-1.24547837997795;101;9
2017-09-15;0.177592467544358;101;10
2017-09-15;-1.3549453682489;101;11
2017-09-15;-1.57387934479079;101;12
2017-09-15;-1.3549453682489;101;13
2017-09-15;0.0681254792734108;101;14
2017-09-15;-0.479209462081323;101;15
2017-09-15;-0.91707741516511;101;16
2017-09-15;0.396526444086251;101;17
2017-09-15;0.177592467544358;101;18
2017-09-15;-0.150808497268483;101;19
2017-09-15;-0.26027548553943;101;20
2017-09-15;0.177592467544358;101;21
2017-09-15;-0.58867645035227;101;22
2017-09-15;0.177592467544358;101;23
2017-09-15;-0.150808497268483;101;24
2017-09-15;0.615460420628145;101;25
2017-09-15;1.16279536198288;101;26
2017-09-15;0.287059455815304;101;27
2017-09-15;0.615460420628145;101;28
2017-09-15;0.505993432357198;101;29
2017-09-15;0.396526444086251;101;30
2017-09-15;1.49119632679572;101;31
2017-09-15;0.287059455815304;101;32
2017-09-15;1.16279536198288;101;33
2017-09-15;0.943861385440985;101;34
2017-09-15;0.505993432357198;101;35
2017-09-15;0.724927408899092;101;36
2017-09-15;1.38172933852477;101;37
2017-09-15;0.834394397170038;101;38
2017-09-15;1.05332837371193;101;39
2017-09-15;0.505993432357198;101;40
2017-09-15;0.834394397170038;101;41
2017-09-15;0.943861385440985;101;42
2017-09-15;0.505993432357198;101;43
2017-09-15;0.287059455815304;101;44
2017-09-15;0.396526444086251;101;45
2017-09-15;1.05332837371193;101;46
2017-09-15;-0.041341508997536;101;47
2017-09-15;0.287059455815304;101;48
2017-09-15;0.287059455815304;101;49
2017-09-15;-0.150808497268483;101;50
2017-09-15;-0.150808497268483;101;51
2017-09-15;-0.26027548553943;101;52
